backend,precond,dim,degree,refine,ranks,threads,dofs,iters,setup,rhs,solve,memory_mb,vmult_time,mdofs_per_s,l2,h1
matrix_free,multigrid,2,1,10,1,1,1050625,5,1.5906,0.118117,1.81554,244.685,0.035471,29.6193,2.11803e-07,0.000491852
matrix_free,multigrid,2,2,9,1,1,1050625,4,0.582952,0.0624273,0.679229,100.481,0.0146256,71.8347,2.57868e-10,3.90019e-07
matrix_free,multigrid,2,3,8,1,1,591361,4,0.203859,0.0265758,0.283451,39.7807,0.00617698,95.7363,3.09196e-10,2.6079e-08
matrix_free,multigrid,3,1,6,1,1,274625,5,0.663677,0.0782681,0.756709,85.2669,0.016185,16.9679,5.56886e-05,0.00681595
matrix_free,multigrid,3,2,5,1,1,274625,4,0.210119,0.0336499,0.231483,27.6508,0.00558344,49.1856,4.16521e-07,8.63828e-05
matrix_free,multigrid,3,3,4,1,1,117649,5,0.0816746,0.00956729,0.0841545,8.45316,0.0017182,68.4721,1.88818e-08,2.86692e-06
matrix_based,multigrid,2,1,10,1,1,1050625,15,0.541929,0.611653,2.19358,111.798,0.00499816,210.202,2.11985e-07,0.000491852
matrix_based,multigrid,2,2,9,1,1,1050625,29,0.445078,0.620537,3.49137,195.435,0.00835507,125.747,9.18965e-09,4.09074e-07
matrix_based,multigrid,2,3,8,1,1,591361,44,0.27387,0.52131,3.42463,170.199,0.00848279,69.7131,8.4622e-09,8.93276e-08
matrix_based,multigrid,3,1,6,1,1,274625,19,0.305629,0.598139,1.04134,77.3203,0.00364888,75.2629,5.56888e-05,0.00681595
matrix_based,multigrid,3,2,5,1,1,274625,24,0.324094,1.28987,2.38239,177.229,0.0116342,23.605,4.16523e-07,8.63828e-05
matrix_based,multigrid,3,3,4,1,1,117649,41,0.185112,1.86234,2.5084,138.573,0.0103872,11.3263,1.89135e-08,2.86697e-06
