backend,precond,dim,degree,refine,ranks,threads,dofs,iters,setup,rhs,solve,memory_mb,vmult_time,mdofs_per_s,l2,h1
matrix_free,multigrid,2,2,3,1,1,289,5,0.0169124,0.00048375,0.001668,0.10008,,,3.07709e-05,0.00159605
matrix_free,multigrid,2,2,4,1,1,1089,5,0.00311233,0.000118667,0.00229754,0.191453,,,3.8473e-06,0.00039898
matrix_free,multigrid,2,2,5,1,1,4225,4,0.00437712,0.000257208,0.00349112,0.507421,,,4.8094e-07,9.97428e-05
matrix_free,multigrid,2,2,6,1,1,16641,4,0.0111475,0.000956791,0.0114091,1.71218,,,6.01176e-08,2.49356e-05
matrix_free,multigrid,2,2,7,1,1,66049,4,0.0401015,0.00380967,0.0439222,6.45005,,,7.51796e-09,6.23389e-06
matrix_based,multigrid,2,2,3,1,1,289,1,0.00339942,0.000829792,0.00719613,0.0404816,,,3.07709e-05,0.00159605
matrix_based,multigrid,2,2,4,1,1,1089,2,0.00161204,0.000568291,0.00260858,0.175186,,,3.8473e-06,0.00039898
matrix_based,multigrid,2,2,5,1,1,4225,23,0.00292625,0.00214046,0.0124765,0.731705,,,4.8096e-07,9.97428e-05
matrix_based,multigrid,2,2,6,1,1,16641,24,0.00827992,0.00870138,0.0410735,2.99318,,,6.01605e-08,2.49356e-05
matrix_based,multigrid,2,2,7,1,1,66049,24,0.0280795,0.0342986,0.165661,12.1099,,,8.02186e-09,6.23398e-06
