backend,precond,dim,degree,refine,ranks,threads,dofs,iters,setup,rhs,solve,memory_mb,vmult_time,mdofs_per_s,l2,h1
matrix_free,multigrid,3,2,6,1,1,2146689,4,2.03135,0.327007,2.16861,210.08,0.0544328,39.4374,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,1,2,2146689,4,1.9031,0.301843,2.15617,210.08,0.0549852,39.0412,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,1,4,2146689,4,1.99574,0.320378,2.25352,210.08,0.0555009,38.6785,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,1,8,2146689,4,1.90173,0.306287,2.12574,210.08,0.051117,41.9956,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,2,1,2146689,4,1.41655,0.227736,1.66124,210.853,0.0381622,56.2517,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,2,2,2146689,4,1.40114,0.248313,1.61018,210.853,0.0398732,53.8379,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,2,4,2146689,4,1.40777,0.23383,1.64444,210.853,0.0387579,55.3871,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,4,1,2146689,4,1.77921,0.25681,2.89541,211.962,0.0522655,41.0728,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,4,2,2146689,4,1.82697,0.247474,2.93809,211.962,0.0510123,42.0818,5.20642e-08,2.1595e-05
matrix_free,multigrid,3,2,6,8,1,2146689,4,14.6217,1.06171,22.767,212.892,0.0947133,22.6651,5.20642e-08,2.1595e-05
